Name,r,claimedtype,redshift,alias,spectrum_count,in_anderson,in_cccp,in_pantheon,in_sanders,spec_class
AT2017cij,1,Candidate,,AT2017cij;PTSS-17noo;ATLAS17czq,0,0,0,0,0,0
AT2017cil,1,Candidate,0.033755,AT2017cil;PTSS-17oca;ATLAS17czg,0,0,0,0,0,0
AT2017cim,1,Candidate,,AT2017cim;PTSS-17npb;ATLAS17czm;PS17chn,0,0,0,0,0,0
AT2017cke,1,Candidate,,AT2017cke;PTSS-17nir;PS17cda,0,0,0,0,0,0
AT2017cyk,1,Candidate,,AT2017cyk;PTSS-17pfg;ATLAS17dwt,0,0,0,0,0,0
AT2017dac,1,CV,,AT2017dac;PTSS-17opl,0,0,0,0,0,0
AT2017dgl,1,Candidate,,AT2017dgl;PS17cor;PTSS-17qrv,0,0,0,0,0,0
AT2017ev,3,Candidate,,AT2017ev;ZTF18aagajuk,0,0,0,0,0,0
AT2017ggo,1,Nova,,AT2017ggo;Gaia17cdj,0,0,0,0,0,0
AT2017hqm,1,Candidate,,AT2017hqm;PTSS-17zel;ATLAS17mvq,0,0,0,0,0,0
AT2017hqn,1,Candidate,,AT2017hqn;PTSS-17ykm;ATLAS17mvt,0,0,0,0,0,0
AT2017ijj,1,Candidate,,AT2017ijj;PTSS-17baau,0,0,0,0,0,0
AT2017imz,1,Candidate,,AT2017imz;PTSS-17bbfl,0,0,0,0,0,0
AT2017mg,1,Candidate,,AT2017mg;PTSS-17daw,0,0,0,0,0,0
AT2017mq,1,Candidate,0.038633,AT2017mq;PTSS-17dih;ATLAS17ajr;PS17brp,0,0,0,0,0,0
AT2017ow,1,Candidate,,AT2017ow;PTSS-17gnv;ATLAS17alr;PS17afs,0,0,0,0,0,0
AT2018cja,8,Candidate,,AT2018cja;PS15arw;ATLAS17fsf,0,0,0,0,0,0
AT2018cux,2,Candidate,0.009;0.009,AT2018cux,0,0,0,0,0,0
AT2018fjz,1,CV,,AT2018fjz;Gaia18cmf;ZTF18abnyktn,0,0,0,0,0,0
AT2018fsd,3,Candidate,,AT2018fsd;ZTF18abnnnzk,0,0,0,0,0,0
AT2018gsu,3,Candidate,,AT2018gsu;ZTF18aaenfaa,0,0,0,0,0,0
AT2018gua,4,Candidate,,AT2018gua;ZTF18abyfcns,0,0,0,0,0,0
AT2018gwy,1,Candidate,,AT2018gwy;ZTF18abxwiqz,0,0,0,0,0,0
AT2018hcm,2,Candidate,,AT2018hcm;ATLAS18wau,0,0,0,0,0,0
AT2018hhv,2,Candidate,,AT2018hhv;ATLAS18wsj;MLS181018:235910+033019;ZTF18accbexr,0,0,0,0,0,0
AT2018hkc,4,Candidate,,AT2018hkc;ATLAS18wwx,0,0,0,0,0,0
AT2018hkl,4,Candidate,,AT2018hkl;ATLAS18wxl;ZTF18acchzyo,0,0,0,0,0,0
AT2018hoo,1,Candidate,0.000175,AT2018hoo;XMr6ZX,0,0,0,0,0,0
AT2018hry,3,Candidate,,AT2018hry;ATLAS18ycy;ZTF18acbuwcq,0,0,0,0,0,0
AT2018htd,2,Candidate,,AT2018htd;ATLAS18yez;ZTF18acbwxjt,0,0,0,0,0,0
AT2018htl,8,Candidate,,AT2018htl;ATLAS18yfi;ZTF18acbwvsq,0,0,0,0,0,0
AT2018htz,2,Candidate,,AT2018htz;ZTF18abyjgcx,0,0,0,0,0,0
AT2018huf,1,Candidate,,AT2018huf;ZTF18acbxphq,0,0,0,0,0,0
AT2018huj,1,Candidate,,AT2018huj;ZTF18acciaxb,0,0,0,0,0,0
AT2018huk,2,Candidate,,AT2018huk;ZTF18abtmeds,0,0,0,0,0,0
AT2018hum,2,Candidate,,AT2018hum;ZTF18abuwcul,0,0,0,0,0,0
AT2018hvc,2,Candidate,,AT2018hvc;ZTF18accbuhi,0,0,0,0,0,0
AT2018hvp,2,Candidate,,AT2018hvp;ZTF18acbvuli,0,0,0,0,0,0
AT2018hvr,3,Candidate,0.060063,AT2018hvr;ZTF18aamsgjq,0,0,0,0,0,0
AT2018hvs,3,Candidate,0.080835,AT2018hvs;ZTF18acbwenp,0,0,0,0,0,0
AT2018hvt,2,Candidate,0.04977,AT2018hvt;ZTF18aayjflv,0,0,0,0,0,0
AT2018hxa,3,Candidate,,AT2018hxa;ATLAS18yev;MLS181108:012948+235508;ZTF18acbycjw,0,0,0,0,0,0
AT2018hxq,5,Candidate,,AT2018hxq;ATLAS18vyk;ZTF18abyiusv,0,0,0,0,0,0
AT2018hzb,5,Candidate,,AT2018hzb;ATLAS18yhy;ZTF18acchhxu,0,0,0,0,0,0
AT2018hzc,5,Candidate,,AT2018hzc;ATLAS18yhz;ZTF18acchhpe,0,0,0,0,0,0
AT2018hzk,2,Candidate,0.500142,AT2018hzk;ATLAS18yir;ZTF18acbxoen,0,0,0,0,0,0
AT2018hzz,4,Candidate,,AT2018hzz;ZTF18aadrhsi,0,0,0,0,0,0
AT2018iaa,1,Candidate,,AT2018iaa;ZTF18aakchfv,0,0,0,0,0,0
AT2018iab,2,Candidate,0.015464,AT2018iab;ZTF18abmenfr,0,0,0,0,0,0
AT2018iac,4,CV,,AT2018iac;ZTF18abwkxgo,0,0,0,0,0,0
AT2018iad,2,Candidate,,AT2018iad;ZTF18abyaxyu,0,0,0,0,0,0
AT2018iaf,5,Candidate,,AT2018iaf;ZTF18acbuvpb;ATLAS18yrz,0,0,0,0,0,0
AT2018iag,5,Candidate,,AT2018iag;ZTF18acbwabp;ATLAS18yqi,0,0,0,0,0,0
AT2018iah,4,Candidate,,AT2018iah;ZTF18acbwagb,0,0,0,0,0,0
AT2018iai,4,Candidate,,AT2018iai;ZTF18acbwfim,0,0,0,0,0,0
